day,contract_address,name,total_supply,total_stablecoin_supply
2025-09-21,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,2392872.884878635,317105678.4610648
2025-09-21,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,58.010000000000005,317105678.4610648
2025-09-21,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,9521227.477125,317105678.4610648
2025-09-21,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,1668023.824605281,317105678.4610648
2025-09-21,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,168858753.11473697,317105678.4610648
2025-09-21,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1237768.1255680006,317105678.4610648
2025-09-21,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,8755073.924684,317105678.4610648
2025-09-21,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,57233939.06377898,317105678.4610648
2025-09-21,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,8451986.024080997,317105678.4610648
2025-09-21,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,58985976.01160742,317105678.4610648
2025-09-20,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,8755073.924684,317105678.4610648
2025-09-20,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,59732723.874190316,317105678.4610648
2025-09-20,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,166342007.06311798,317105678.4610648
2025-09-20,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,8214464.975082997,317105678.4610648
2025-09-20,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,1685890.0310771721,317105678.4610648
2025-09-20,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,2393372.224022856,317105678.4610648
2025-09-20,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,58.010000000000005,317105678.4610648
2025-09-20,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,10032796.605986001,317105678.4610648
2025-09-20,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,57862834.13789798,317105678.4610648
2025-09-20,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1236631.8530620006,317105678.4610648
2025-09-19,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,60176183.66613498,317105678.4610648
2025-09-19,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1238869.8858020005,317105678.4610648
2025-09-19,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,2396240.9839215246,317105678.4610648
2025-09-19,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,193526156.916596,317105678.4610648
2025-09-19,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,8352975.902697997,317105678.4610648
2025-09-19,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,9155073.924684,317105678.4610648
2025-09-19,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,59900705.25945344,317105678.4610648
2025-09-19,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,10741594.361678,317105678.4610648
2025-09-19,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,58.010000000000005,317105678.4610648
2025-09-19,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,1683529.9537621627,317105678.4610648
2025-09-18,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,7852992.177249997,317105678.4610648
2025-09-18,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,28.01,317105678.4610648
2025-09-18,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,60036194.842508264,317105678.4610648
2025-09-18,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,1688642.2800144476,317105678.4610648
2025-09-18,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,2396876.8858061023,317105678.4610648
2025-09-18,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,62215073.93966198,317105678.4610648
2025-09-18,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1252776.3121150006,317105678.4610648
2025-09-18,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,11769407.799138,317105678.4610648
2025-09-18,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,193455619.168629,317105678.4610648
2025-09-18,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,9755073.924684,317105678.4610648
2025-09-17,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1227219.7896970005,317105678.4610648
2025-09-17,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,9755073.924684,317105678.4610648
2025-09-17,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,2379198.970605843,317105678.4610648
2025-09-17,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,183023707.108676,317105678.4610648
